FACTORY,WORK_SHAPE,INPUT_ED,INPUT_LENGTH,INPUT_QTY,DIRECTION_ED,OUTPUT_ED,STEEL_CATEGORY,WORK_START_DT,WORK_END_DT
F1,1,154,7450,3,148,148.5,2929,2017-01-02 7:00,2017-01-02 7:40
F1,1,154,7450,3,148,148.5,2929,2017-01-02 7:40,2017-01-02 8:20
F1,1,154,7450,3,148,148.5,2929,2017-01-02 8:20,2017-01-02 9:00
F1,1,154,7450,3,148,148.5,2929,2017-01-02 9:00,2017-01-02 9:40
F1,1,154,7450,3,148,148.5,2929,2017-01-02 9:40,2017-01-02 10:20
F1,1,154,7450,3,148,148.5,2929,2017-01-02 10:20,2017-01-02 11:00
F1,1,154,7450,3,148,148.5,2929,2017-01-02 11:00,2017-01-02 11:40
F1,1,155,7450,3,148,148.5,2929,2017-01-02 11:40,2017-01-02 12:20
F1,1,155,7450,3,148,148.5,2929,2017-01-02 12:20,2017-01-02 13:00
F1,1,155,7450,3,148,148.5,2929,2017-01-02 13:00,2017-01-02 13:40
F1,1,155,7450,3,148,148.6,2929,2017-01-02 13:40,2017-01-02 14:20
F1,2,154,7800,3,148,148.6,2929,2017-01-02 14:20,2017-01-02 15:15
F1,2,154,7450,3,148,148.6,2929,2017-01-02 15:15,2017-01-02 15:55
F1,2,154,7600,3,148,148.6,2929,2017-01-02 15:55,2017-01-02 16:35
F1,2,154,7450,3,148,148.6,2929,2017-01-02 16:35,2017-01-02 17:15
F1,2,154,7700,3,148,148.6,2929,2017-01-02 17:15,2017-01-02 18:05
F1,2,154,7700,3,148,148.6,2929,2017-01-02 18:05,2017-01-02 18:55
F1,2,154,7700,3,148,148.6,2929,2017-01-02 18:55,2017-01-02 19:45
F1,2,154,7700,3,148,148.6,2929,2017-01-02 19:45,2017-01-02 20:35
F1,2,154,7700,3,148,148.6,2929,2017-01-02 20:35,2017-01-02 21:25
F1,2,154,7700,3,148,148.5,2929,2017-01-02 21:25,2017-01-02 22:15
F1,2,154,7300,3,148,148.5,2929,2017-01-02 22:15,2017-01-02 22:55
F1,3,154,7700,3,148,148.5,2929,2017-01-02 22:55,2017-01-02 23:45
F1,3,154,7700,3,148,148.5,2929,2017-01-02 23:45,2017-01-03 0:35
F1,3,154,7700,3,148,148.5,2929,2017-01-03 0:35,2017-01-03 1:25
F1,3,154,7700,3,148,148.5,2929,2017-01-03 1:25,2017-01-03 2:15
F1,3,154,7700,3,148,148.5,2929,2017-01-03 2:15,2017-01-03 3:05
F1,3,154,7700,3,148,148.5,2929,2017-01-03 3:05,2017-01-03 3:55
F1,3,154,7700,3,148,148.5,2929,2017-01-03 3:55,2017-01-03 4:45
F1,3,154,7700,3,148,148.5,2929,2017-01-03 4:45,2017-01-03 5:35
F1,3,154,7700,3,148,148.5,2929,2017-01-03 5:35,2017-01-03 6:25
F1,1,154,7700,2,148,148.5,2929,2017-01-03 6:25,2017-01-03 7:05
F1,1,154,7700,1,148,148.5,3021,2017-01-03 7:05,2017-01-03 7:15
F1,1,154,7700,3,148,148.5,2929,2017-01-03 7:15,2017-01-03 8:05
F1,1,154,7700,300,148,148.5,2929,2017-01-03 8:05,2017-01-03 8:55
F1,1,154,7700,3,148,148.5,2929,2017-01-03 8:55,2017-01-03 9:45
F1,1,154,7700,3,148,148.6,2929,2017-01-03 9:45,2017-01-03 10:35
F1,1,154,7700,3,148,148.6,2929,2017-01-03 10:35,2017-01-03 11:25
F1,1,154,7700,3,148,148.6,2929,2017-01-03 11:25,2017-01-03 12:15
F1,1,154,7450,3,148,148.6,2929,2017-01-03 12:15,2017-01-03 12:55
F1,1,154,7450,3,148,148.6,2929,2017-01-03 12:55,2017-01-03 13:35
F1,1,155,7450,3,148,148.6,2929,2017-01-03 13:35,2017-01-03 14:15
F1,1,155,7450,3,148,148.5,2929,2017-01-03 14:15,2017-01-03 14:55
F1,2,154,7450,3,148,148.5,2929,2017-01-03 14:55,2017-01-03 15:35
F1,2,154,7450,3,148,148.5,2929,2017-01-03 15:35,2017-01-03 16:15
F1,2,155,7450,3,148,148.5,2929,2017-01-03 16:15,2017-01-03 16:55
F1,2,154,7300,3,148,148,3021,2017-01-03 16:55,2017-01-03 17:21
F1,2,154,7450,3,148,148,2931,2017-01-03 17:21,2017-01-06 21:38
F1,2,154,7700,3,148,148.5,3021,2017-01-06 21:38,2017-01-06 22:00
F1,2,154,7700,3,148,148.5,3021,2017-01-06 22:00,2017-01-06 22:28
